Feature,Coefficient
prior_weeks,1.0206517990695156
last_week_sb,0.37632198778433684
bakers_in_week,0.3068110593639339
result_std_prev,0.08489641025333608
last_week_tech,0.006204481095035705
cum_hand_prev,-0.004632091952843888
consec_high_prev,-0.08744737664243299
cum_tech_mean_prev,-0.10043557801168262
consec_low_prev,-0.11545562886068397
delta_last_two,-0.16653432430220394
good_streak,-0.2063485899832779
last_week_result,-0.24439259857092213
sb_streak,-0.24960014191493574
cum_sb_count_prev,-0.3748325056768363
cum_result_mean_prev_norm,-0.5183886487004266
